sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
D-T-DT-WG2,DTT004,pet-treats,dog_treats,Wagg Low Fat Dog Treats 125g,dog_treats_004,Dog > treats,Wagg,0.125,"EUR",4,"PLN",10,"GBP",2,dog_treats4
D-T-DT-WHL1,DTT005,pet-treats,dog_treats,Hill's Prescription Diet Hypoallergenic Dog Treats,dog_treats_005,Dog > treats,Hill's,0.2,"EUR",7,"PLN",30,"GBP",6,dog_treats5
D-T-DT-LK2,DTT006,pet-treats,dog_treats,Lily's Kitchen Best Ever Beef Mini Burgers Dog Treats 70g,dog_treats_006,Dog > treats,Lily's Kitchen,0.07,"EUR",5,"PLN",20,"GBP",4,dog_treats6
D-T-DT-LK3,DTT007,pet-treats,dog_treats,Lily's Kitchen Woofbrush Daily Dental Gut Health Dog Chews Large 7x47g,dog_treats_007,Dog > treats,Lily's Kitchen,0.329,"EUR",11,"PLN",45,"GBP",9,dog_treats7
D-T-DT-PM1,DTT008,pet-treats,dog_treats,Pooch and Mutt Calming Meaty Dog Treats with Turkey and Hemp 120g,dog_treats_008,Dog > treats,Pooch and Mutt,0.12,"EUR",5,"PLN",20,"GBP",4,dog_treats8
D-T-DT-PM2,DTT009,pet-treats,dog_treats,Pooch and Mutt Dental Meaty Dog Treats with Duck and Rosemary 120g,dog_treats_009,Dog > treats,Pooch and Mutt,0.12,"EUR",5,"PLN",20,"GBP",4,dog_treats9
D-T-DT-PM3,DTT010,pet-treats,dog_treats,Pooch and Mutt Skin and Coat Meaty Dog Treats with Shrimp and Coconut 120g,dog_treats_010,Dog > treats,Pooch and Mutt,0.12,"EUR",5,"PLN",20,"GBP",4,dog_treats10

D-D-DT-NL1,DTD001,pet-toys,dog_toys,Nylabone Bacon Glaze Extreme Chew Donut Dog Toy Medium,dog_toys_001,Dog>Toys,Nylabone,Medium,"EUR",11,"PLN",45,"GBP",9,dog_toys1
D-D-DT-NL2,DTD002,pet-toys,dog_toys,Nylabone Bacon & Cheese Extreme Chew Dog Toy Large,dog_toys_002,Dog>Toys,Nylabone,Large,"EUR",14,"PLN",60,"GBP",12,dog_toys2
D-D-DT-PH1,DTD003,pet-toys,dog_toys,Pets at Home Float & Fetch Nev the Octopus Dog Toy,dog_toys_003,Dog>Toys,Pets at Home,One size,"EUR",6,"PLN",25,"GBP",5,dog_toys3
D-D-DT-PH2,DTD004,pet-toys,dog_toys,Pets at Home Squeaky Unicorn Dog Toy Mini,dog_toys_004,Dog>Toys,Pets at Home,Mini,"EUR",4,"PLN",15,"GBP",3,dog_toys4
